<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	09:10:20.796			14.065	30.00000000	56
2026.06.30	09:10:20.800			14.065	30.00000000	56
2026.06.30	09:10:20.805			14.065	30.00000000	56
2026.06.30	09:10:20.809	14.065				2
2026.06.30	09:10:20.809		14.070			4
2026.06.30	09:10:21.724			14.065	30.00000000	88
2026.06.30	09:10:21.734			14.065	5.00000000	88
2026.06.30	09:10:21.734			14.065	18.00000000	88
2026.06.30	09:10:21.737			14.065	7.00000000	88
2026.06.30	09:10:21.742			14.065	27.00000000	88
2026.06.30	09:10:21.747			14.065	3.00000000	88
2026.06.30	09:10:21.752			14.065	27.00000000	88
2026.06.30	09:10:21.761			14.065	21.00000000	88
2026.06.30	09:10:21.763			14.065	47.00000000	88
2026.06.30	09:10:21.768			14.065	30.00000000	88
2026.06.30	09:10:21.772			14.065	30.00000000	88
2026.06.30	09:10:24.354	14.060				2
2026.06.30	09:10:27.000		14.065			4
2026.06.30	09:10:28.485			14.065	6.00000000	56
2026.06.30	09:10:28.624		14.070			4
2026.06.30	09:10:31.042	14.065				2
2026.06.30	09:10:35.955			14.065	349.00000000	88
2026.06.30	09:10:36.473			14.070	9.00000000	56
2026.06.30	09:10:36.474			14.070	60.00000000	56
2026.06.30	09:10:36.493			14.065	18.00000000	88
2026.06.30	09:10:36.512			14.065	203.00000000	88
2026.06.30	09:10:36.523			14.065	1.00000000	88
2026.06.30	09:10:36.523	14.060				2
2026.06.30	09:10:37.000		14.065			4
2026.06.30	09:11:00.241	14.060				2
2026.06.30	09:11:39.606		14.065			4
2026.06.30	09:11:48.008			14.065	69.00000000	56
2026.06.30	09:11:48.019			14.065	36.00000000	56
2026.06.30	09:11:48.023			14.065	5.00000000	56
2026.06.30	09:11:52.841			14.065	13.00000000	56
2026.06.30	09:11:52.844			14.065	10.00000000	56
2026.06.30	09:11:52.844			14.065	45.00000000	56
2026.06.30	09:11:52.859			14.065	5.00000000	56
2026.06.30	09:11:52.859			14.065	64.00000000	56
2026.06.30	09:11:52.866			14.065	9.00000000	56
2026.06.30	09:11:52.867			14.065	14.00000000	56
2026.06.30	09:11:52.868			14.065	36.00000000	56
2026.06.30	09:11:52.968			14.065	5.00000000	56
2026.06.30	09:11:52.969			14.065	27.00000000	56
2026.06.30	09:11:52.969			14.065	28.00000000	56
2026.06.30	09:11:52.970			14.065	9.00000000	56
2026.06.30	09:11:52.973			14.065	41.00000000	56
2026.06.30	09:11:53.029			14.065	18.00000000	56
2026.06.30	09:11:53.029			14.065	9.00000000	56
2026.06.30	09:11:53.785			14.065	23.00000000	56
2026.06.30	09:11:53.789			14.065	23.00000000	56
2026.06.30	09:11:53.794			14.065	23.00000000	56
2026.06.30	09:11:55.956			14.065	18.00000000	56
2026.06.30	09:11:55.960			14.065	5.00000000	56
2026.06.30	09:11:55.961			14.065	9.00000000	56
2026.06.30	09:11:57.869			14.065	9.00000000	56
2026.06.30	09:11:57.874			14.065	5.00000000	56
2026.06.30	09:11:57.878			14.065	4.00000000	56
2026.06.30	09:12:00.336	14.060				2
2026.06.30	09:12:00.341			14.065	14.00000000	56
2026.06.30	09:12:01.000		14.070			4
2026.06.30	09:12:01.637		14.065			4
2026.06.30	09:12:02.167			14.065	8.00000000	56
2026.06.30	09:12:02.167			14.065	14.00000000	56
2026.06.30	09:12:02.167			14.065	5.00000000	56
2026.06.30	09:12:02.172			14.065	1.00000000	56
2026.06.30	09:12:02.173			14.065	30.00000000	56
2026.06.30	09:12:02.178			14.065	25.00000000	56
2026.06.30	09:12:02.183			14.065	18.00000000	56
2026.06.30	09:12:02.187			14.065	14.00000000	56
2026.06.30	09:12:02.192			14.065	14.00000000	56
2026.06.30	09:12:02.196			14.065	9.00000000	56
2026.06.30	09:12:02.200			14.065	5.00000000	56
2026.06.30	09:12:02.205			14.065	4.00000000	56
2026.06.30	09:12:02.209			14.065	30.00000000	56
2026.06.30	09:12:02.214			14.065	28.00000000	56
2026.06.30	09:12:02.214			14.065	2.00000000	56
2026.06.30	09:12:02.872			14.065	22.00000000	56
2026.06.30	09:12:04.764			14.065	14.00000000	56
2026.06.30	09:12:04.766			14.065	30.00000000	56
2026.06.30	09:12:04.770			14.065	12.00000000	56
2026.06.30	09:12:04.771			14.065	14.00000000	56
2026.06.30	09:12:04.771			14.065	4.00000000	56
2026.06.30	09:12:04.776			14.065	30.00000000	56
2026.06.30	09:12:04.780			14.065	30.00000000	56
2026.06.30	09:12:04.857		14.070			4
2026.06.30	09:12:06.088		14.065			4
2026.06.30	09:12:13.509			14.065	5.00000000	56
2026.06.30	09:12:13.515		14.070			4
2026.06.30	09:12:14.735			14.065	7.00000000	120
2026.06.30	09:12:14.735			14.065	7.00000000	120
