<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	10:07:47.057		37.89			4
2026.06.30	10:07:53.385			37.86	6500.00000000	88
2026.06.30	10:07:53.411			37.85	1200.00000000	88
2026.06.30	10:07:53.411	37.85				2
2026.06.30	10:07:53.411		37.88			4
2026.06.30	10:07:54.037		37.87			4
2026.06.30	10:07:54.790		37.88			4
2026.06.30	10:07:56.018	37.86				2
2026.06.30	10:07:57.961			37.86	1000.00000000	88
2026.06.30	10:07:57.986			37.86	200.00000000	88
2026.06.30	10:07:58.253			37.86	1500.00000000	88
2026.06.30	10:07:58.253			37.85	2600.00000000	88
2026.06.30	10:07:58.271			37.85	700.00000000	88
2026.06.30	10:07:58.271	37.85				2
2026.06.30	10:07:58.273		37.87			4
2026.06.30	10:07:58.577		37.88			4
2026.06.30	10:07:59.706			37.86	1000.00000000	120
2026.06.30	10:08:01.388	37.85				2
2026.06.30	10:08:04.069			37.87	100.00000000	120
2026.06.30	10:08:04.069			37.88	600.00000000	56
2026.06.30	10:08:04.080			37.85	100.00000000	88
2026.06.30	10:08:04.938			37.85	200.00000000	88
2026.06.30	10:08:09.147		37.87			4
2026.06.30	10:08:14.804			37.87	100.00000000	56
2026.06.30	10:08:14.804			37.88	900.00000000	56
2026.06.30	10:08:14.819			37.85	200.00000000	88
2026.06.30	10:08:15.000		37.88			4
2026.06.30	10:08:16.008	37.86				2
2026.06.30	10:08:18.435	37.85				2
2026.06.30	10:08:22.048	37.86				2
2026.06.30	10:08:23.070			37.86	2200.00000000	88
2026.06.30	10:08:23.106			37.86	400.00000000	88
2026.06.30	10:08:32.762			37.86	1500.00000000	88
2026.06.30	10:08:32.769			37.86	300.00000000	88
2026.06.30	10:08:36.473			37.88	6600.00000000	56
2026.06.30	10:08:36.473			37.89	2400.00000000	56
2026.06.30	10:08:36.473			37.89	1000.00000000	56
2026.06.30	10:08:36.511			37.86	1400.00000000	88
2026.06.30	10:08:36.511			37.86	300.00000000	88
2026.06.30	10:08:36.696		37.89			4
2026.06.30	10:08:36.920			37.89	100.00000000	56
2026.06.30	10:08:40.292	37.87				2
2026.06.30	10:08:40.292		37.90			4
2026.06.30	10:08:42.385			37.88	100.00000000	120
2026.06.30	10:08:42.385			37.87	100.00000000	88
2026.06.30	10:08:42.392			37.87	100.00000000	88
2026.06.30	10:08:42.400	37.86				2
2026.06.30	10:08:42.400		37.89			4
2026.06.30	10:08:44.612	37.87				2
2026.06.30	10:08:46.188			37.88	200.00000000	120
2026.06.30	10:08:47.248			37.87	1800.00000000	88
2026.06.30	10:08:47.248			37.86	400.00000000	88
2026.06.30	10:08:47.278			37.86	400.00000000	88
2026.06.30	10:08:56.532			37.88	1600.00000000	120
2026.06.30	10:08:56.532			37.87	4500.00000000	88
2026.06.30	10:08:56.532			37.86	3100.00000000	88
2026.06.30	10:08:56.532			37.86	800.00000000	88
2026.06.30	10:08:56.568			37.86	100.00000000	88
2026.06.30	10:08:56.568			37.85	1300.00000000	88
2026.06.30	10:08:56.696	37.86				2
2026.06.30	10:09:00.076	37.86				2
2026.06.30	10:09:02.884			37.89	100.00000000	56
2026.06.30	10:09:02.899			37.86	100.00000000	88
2026.06.30	10:09:04.155		37.88			4
2026.06.30	10:09:07.595		37.87			4
2026.06.30	10:09:08.028			37.86	100.00000000	88
2026.06.30	10:09:13.894			37.86	600.00000000	88
2026.06.30	10:09:13.906			37.86	100.00000000	88
2026.06.30	10:09:16.231			37.86	100.00000000	88
2026.06.30	10:09:19.137			37.87	100.00000000	56
2026.06.30	10:09:19.304			37.86	100.00000000	88
2026.06.30	10:09:19.304			37.86	2800.00000000	88
2026.06.30	10:09:19.307			37.86	500.00000000	88
2026.06.30	10:09:19.408	37.85				2
2026.06.30	10:09:19.768			37.86	1000.00000000	120
2026.06.30	10:09:23.751			37.86	1000.00000000	120
2026.06.30	10:09:24.331	37.86				2
2026.06.30	10:09:30.014			37.87	100.00000000	56
2026.06.30	10:09:31.468			37.87	2500.00000000	56
2026.06.30	10:09:31.471			37.86	500.00000000	88
2026.06.30	10:09:32.587			37.87	100.00000000	56
2026.06.30	10:09:33.379			37.87	100.00000000	56
2026.06.30	10:09:34.389			37.87	2300.00000000	56
2026.06.30	10:09:34.397			37.87	2000.00000000	56
2026.06.30	10:09:34.415			37.86	800.00000000	88
2026.06.30	10:09:35.512			37.87	5800.00000000	56
2026.06.30	10:09:35.512			37.87	2300.00000000	56
2026.06.30	10:09:35.540			37.87	1400.00000000	56
2026.06.30	10:09:35.540	37.87				2
2026.06.30	10:09:35.545		37.88			4
2026.06.30	10:09:40.469			37.88	8200.00000000	56
2026.06.30	10:09:40.477			37.88	2700.00000000	56
2026.06.30	10:09:40.505			37.88	1900.00000000	56
2026.06.30	10:09:40.511	37.88				2
2026.06.30	10:09:40.511		37.90			4
2026.06.30	10:09:42.927			37.90	500.00000000	56
2026.06.30	10:09:42.954			37.88	100.00000000	88
2026.06.30	10:09:43.642			37.89	100.00000000	120
2026.06.30	10:09:44.000		37.89			4
2026.06.30	10:09:45.555			37.89	200.00000000	56
2026.06.30	10:09:45.558			37.89	100.00000000	56
2026.06.30	10:09:45.592			37.89	100.00000000	56
2026.06.30	10:09:45.707		37.90			4
2026.06.30	10:09:46.584			37.90	200.00000000	56
2026.06.30	10:09:48.645			37.90	100.00000000	56
2026.06.30	10:09:49.103			37.90	1000.00000000	56
2026.06.30	10:09:49.124			37.88	200.00000000	88
2026.06.30	10:09:49.229		37.91			4
2026.06.30	10:09:49.536			37.90	500.00000000	120
2026.06.30	10:09:51.137		37.90			4
2026.06.30	10:09:51.695		37.91			4
2026.06.30	10:09:52.408		37.90			4
2026.06.30	10:09:52.557			37.89	1000.00000000	120
2026.06.30	10:09:52.557		37.91			4
2026.06.30	10:09:54.000		37.90			4
2026.06.30	10:09:57.828			37.89	500.00000000	120
2026.06.30	10:09:59.000	37.89				2
2026.06.30	10:10:00.084	37.89				2
2026.06.30	10:10:00.778			37.89	600.00000000	88
2026.06.30	10:10:00.782			37.88	5900.00000000	88
2026.06.30	10:10:00.800	37.87				2
2026.06.30	10:10:00.802		37.89			4
2026.06.30	10:10:00.826			37.87	1100.00000000	88
2026.06.30	10:10:00.832			37.89	800.00000000	56
2026.06.30	10:10:00.845			37.87	200.00000000	88
2026.06.30	10:10:00.984			37.89	100.00000000	56
2026.06.30	10:10:06.312			37.87	100.00000000	88
2026.06.30	10:10:10.685			37.89	100.00000000	56
2026.06.30	10:10:13.675			37.89	100.00000000	56
2026.06.30	10:10:15.056			37.89	200.00000000	56
2026.06.30	10:10:15.078			37.87	100.00000000	88
2026.06.30	10:10:15.078			37.89	100.00000000	56
2026.06.30	10:10:15.089			37.89	1800.00000000	56
2026.06.30	10:10:15.108			37.88	300.00000000	120
2026.06.30	10:10:15.115			37.90	200.00000000	56
2026.06.30	10:10:15.124	37.88				2
2026.06.30	10:10:15.124		37.90			4
2026.06.30	10:10:15.965			37.89	100.00000000	120
2026.06.30	10:10:16.782			37.90	100.00000000	56
2026.06.30	10:10:16.808			37.88	100.00000000	88
2026.06.30	10:10:18.174			37.90	100.00000000	56
2026.06.30	10:10:18.294		37.91			4
2026.06.30	10:10:19.361			37.91	100.00000000	56
